"blk4Cor1Acc","blk4Cor2Acc","blk4Resolution","blk4Resolution2","blk4Resolution2Adv1","blk4Resolution2Adv2","blk4AverageCj1","adv1Agreed","adv2Agreed","agreedDiff","res2Diff","blk4MeanAdvisor1Sway","blk4MeanAdvisor2Sway","swayDiff","blk4AdviceSway","blk4AdviceSway1Diff","blk4AdviceSway2Diff",
0.63333,0.68333,0.98325,5.9976,7.6938,4.3014,16.15,0.6,0.4,-0.2,-3.3923,8.5667,7.9,-0.66667,9.7667,0.2,-0.033333,
0.56667,0.7,7.7941,16.1923,18.1607,14.6944,28.4167,0.5,0.36667,-0.13333,-3.4663,6.4667,7.9333,1.4667,11.4333,-0.16667,0.8,
0.58333,0.58333,1.9314,1.08,0.63889,2.7421,27.1667,0.5,0.6,0.1,2.1032,3.1333,5.0333,1.9,11.4833,-1.6333,-1.9667,
0.73333,0.7,2.3125,1.1023,2.3333,0.95,4.6167,0.56667,0.5,-0.066667,-1.3833,9.4667,4.4667,-5,8.2,0.066667,0.2,
0.61667,0.7,7.3725,0.25382,4.6667,0.15179,27.6333,0.53333,0.56667,0.033333,-4.5149,10.2333,16.7667,6.5333,22.4667,-0.36667,-0.4,
0.81667,0.8,7.1781,4.833,5.8846,3.441,17.3167,0.63333,0.73333,0.1,-2.4436,5.8333,1.5667,-4.2667,4.5,-0.8,-0.13333,
0.65,0.71667,5.0293,6.5458,2.35,10.6651,21.65,0.56667,0.6,0.033333,8.3151,9.4667,10.1333,0.66667,12,0.83333,-0.2,
0.56667,0.58333,3.9955,5.0724,3.6,6.067,13.5333,0.53333,0.6,0.066667,2.467,4.1667,1.7667,-2.4,3.6,0.066667,-0.1,
0.68333,0.73333,5.9551,9.5674,12,6.8889,27.0167,0.56667,0.53333,-0.033333,-5.1111,9.2667,12.4667,3.2,12.4,0.23333,0.16667,
0.58333,0.61667,1.3429,7.1486,9.7768,3.8612,19.1833,0.43333,0.4,-0.033333,-5.9155,10.0667,9.6,-0.46667,12.1,0.63333,-0.96667,
0.63333,0.63333,1,3.0837,0.42045,4.5268,45.8667,0.7,0.5,-0.2,4.1063,14.7667,16.8,2.0333,39.75,1.4667,-1.4,
0.73333,0.75,2.8011,3.5114,3.5873,2.2671,39.8667,0.53333,0.6,0.066667,-1.3202,6.1333,5.8333,-0.3,24.7833,-1.5667,-2.8,
0.55,0.6,5.67,10.7811,7.4444,13.4667,16.6,0.43333,0.53333,0.1,6.0222,10.6333,7.6333,-3,11.9333,0.43333,0.36667,
0.65,0.68333,0.13187,8.0293,3.0278,12.7302,38.8,0.56667,0.66667,0.1,9.7024,9.3333,13.1333,3.8,14.2,0.16667,-0.16667,
0.66667,0.75,0.725,4.2,0.90683,4.4842,15.0333,0.53333,0.53333,0,3.5773,6.4667,2.9,-3.5667,8.6167,-0.13333,-0.96667,
0.53333,0.6,3.9688,11.5714,11.8462,11.3333,18.3667,0.6,0.46667,-0.13333,-0.51282,10.4333,8.6333,-1.8,10.7333,-0.2,0.16667,
0.61667,0.63333,2.7415,3.6428,5.65,2.1719,11.5167,0.56667,0.66667,0.1,-3.4781,1.0333,2.0667,1.0333,2.45,-0.43333,0,
0.8,0.83333,4.4583,6.1875,4.7037,5.0794,12.4833,0.73333,0.53333,-0.2,0.37566,4.7333,2.6,-2.1333,4.9,-0.1,-0.53333,
0.71667,0.68333,0.097127,1.7852,2.8636,0.80952,23.7167,0.56667,0.66667,0.1,-2.0541,3.7667,1.2333,-2.5333,3.0333,0.23333,0.9,
0.78333,0.76667,11.7365,11.0376,14.8333,7.9441,27.1167,0.56667,0.6,0.033333,-6.8892,3.7667,4.1333,0.36667,5.25,0.16667,-0.63333,
0.68333,0.7,0.53017,7.2336,12.3014,1.0114,43.7833,0.8,0.76667,-0.033333,-11.2901,9.4,1.0667,-8.3333,11.8667,-0.53333,0,
0.76667,0.8,9.1398,5.1988,0.33333,8.6477,20.65,0.56667,0.56667,0,8.3144,7.4333,3.4667,-3.9667,10.4167,-0.9,-0.26667,
0.63333,0.7,3.8278,7.5431,6.6124,8.4737,16.8333,0.53333,0.6,0.066667,1.8612,5.4333,4.6667,-0.76667,7.0833,-0.033333,0,
0.78333,0.81667,11.3404,17.2733,18.96,15.4432,27.8833,0.53333,0.5,-0.033333,-3.5168,5.1,5.1333,0.033333,6.1833,-0.4,-0.13333,
0.75,0.76667,5.9556,8.0444,9.8182,6.1304,25.1333,0.7,0.8,0.1,-3.6877,5.1667,5.5,0.33333,5.7333,0.2,0.1,
0.68333,0.68333,4.9602,7.5944,10.7799,4.875,29.6,0.66667,0.56667,-0.1,-5.9049,12.1,8.7,-3.4,10.9,-0.7,-0.3,
0.8,0.81667,10.0833,4.8542,4.7917,4.9167,16.3167,0.63333,0.63333,0,0.125,14.8,24.5667,9.7667,23.1167,-0.13333,-1.5667,
0.66667,0.7,3.225,8.075,4.8413,11.4354,26.7,0.6,0.6,0,6.5941,6.5333,7.8333,1.3,8.1167,-0.5,-0.93333,
0.66667,0.75,1.65,7.425,10.4127,4.0718,7.7,0.53333,0.66667,0.13333,-6.3409,11.6333,7.1333,-4.5,11.5833,0.16667,0.066667,
0.83333,0.88333,6.02,7.14,7.6667,6.8654,6.8167,0.63333,0.63333,0,-0.80128,2.8,2.9333,0.13333,3.2,0.066667,0,
0.56667,0.66667,0.22851,9.0452,7.0833,10.5536,21.2833,0.63333,0.5,-0.13333,3.4702,3.3667,8.5333,5.1667,9.5167,-0.96667,0.3,
0.76667,0.8,0.35093,3.528,0.85,9.1731,16.4833,0.56667,0.7,0.13333,8.3231,6.2,4.5,-1.7,6.5167,0.3,0.53333,
0.56667,0.63333,0.35068,3.1742,2.4444,3.9196,8.9167,0.56667,0.5,-0.066667,1.4752,3.5,4.3,0.8,6.0667,-0.1,0.066667,
